fen,type,wdl,dtz,num_pieces,turn
1B2R3/Q7/8/8/5K2/8/8/3k4 w - - 0 1,Q+R+B vs k,2,3,5,1
8/1k6/8/8/8/8/6K1/8 b - - 0 1,K vs k,0,0,2,0
4k3/8/8/8/8/8/5K2/8 b - - 0 1,K vs k,0,0,2,0
1K6/4b3/8/1B6/8/6N1/8/4k3 w - - 0 1,B+N vs k+b,0,0,5,1
5K1N/8/8/3Q4/8/8/3k4/8 b - - 0 1,Q+N vs k,-2,-12,4,0
8/8/8/8/8/8/4K3/k7 w - - 0 1,K vs k,0,0,2,1
2B5/8/8/8/1B3kP1/K7/8/8 b - - 0 1,2B+P vs k,-2,-4,5,0
8/6k1/8/8/4K3/3R4/7n/8 w - - 0 1,R vs k+n,2,6,4,1
8/3k4/7K/4B3/8/8/8/8 w - - 0 1,B vs k,0,0,3,1
5q2/6K1/8/8/8/8/1P6/2k5 w - - 0 1,P vs k+q,0,0,4,1
8/8/8/4K3/8/4k3/8/8 b - - 0 1,K vs k,0,0,2,0
8/1k6/8/8/K7/8/8/8 w - - 0 1,K vs k,0,0,2,1
3KB3/7N/8/8/8/k7/8/8 w - - 0 1,B+N vs k,2,56,4,1
8/8/4K1k1/8/4PQ2/8/8/8 w - - 0 1,Q+P vs k,2,1,4,1
8/7K/8/1k6/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/6K1/8/8/2k5/5q2/8 w - - 0 1,K vs k+q,-2,-12,3,1
8/8/7K/2k5/2B5/8/8/8 b - - 0 1,B vs k,0,0,3,0
P7/4r3/8/8/8/P7/5K2/4k3 w - - 0 1,2P vs k+r,-2,-4,5,1
8/2k5/8/8/8/8/2K5/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/3K4/2pbB3/2k5/8/8 w - - 0 1,B vs k+b+p,0,0,5,1
8/2B5/8/8/3b1k2/6K1/1B6/8 b - - 0 1,2B vs k+b,0,0,5,0
1k6/8/1r6/8/8/2K5/8/8 b - - 0 1,K vs k+r,2,25,3,0
8/8/8/5KB1/6r1/2k5/8/8 b - - 0 1,B vs k+r,0,0,4,0
8/8/8/6k1/8/8/Kr6/8 w - - 0 1,K vs k+r,0,0,3,1
3b4/1R4K1/8/2k5/8/8/8/8 w - - 0 1,R vs k+b,0,0,4,1
8/q5k1/8/7K/8/8/8/4B3 w - - 0 1,B vs k+q,-2,-16,4,1
8/5k2/8/8/8/8/K7/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/4k1K1/8/8/8 b - - 0 1,K vs k,0,0,2,0
4k3/8/8/5q2/8/8/8/6K1 w - - 0 1,K vs k+q,-2,-16,3,1
8/8/8/6K1/1k4N1/8/8/8 b - - 0 1,N vs k,0,0,3,0
K7/8/8/6k1/8/8/8/1qN5 b - - 0 1,N vs k+q,2,1,4,0
8/5K2/8/1B6/1k6/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/8/8/R7/8/2K5/6k1/8 w - - 0 1,R vs k,2,17,3,1
1k6/8/8/8/2K5/8/8/8 w - - 0 1,K vs k,0,0,2,1
6Bk/1P6/7K/8/6Q1/8/8/8 b - - 0 1,Q+B+P vs k,0,0,5,0
q7/8/8/8/8/2k2Q2/R7/4K3 w - - 0 1,Q+R vs k+q,2,1,5,1
8/5K2/8/8/2k5/8/8/2r5 b - - 0 1,K vs k+r,2,21,3,0
k7/2K5/8/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
3Q4/8/8/4K3/8/8/5k2/8 w - - 0 1,Q vs k,2,9,3,1
8/8/7P/8/6K1/8/8/5k2 w - - 0 1,P vs k,2,1,3,1
8/8/8/7K/8/8/8/5k2 b - - 0 1,K vs k,0,0,2,0
1K6/8/8/5kq1/8/r7/8/8 w - - 0 1,K vs k+q+r,-2,-6,4,1
8/8/8/4P3/4q3/1k1K4/8/8 w - - 0 1,P vs k+q,2,1,4,1
8/8/6k1/4K2r/8/6R1/Q7/8 b - - 0 1,Q+R vs k+r,-2,-6,5,0
8/8/1P6/2R3K1/5p2/8/2k5/6P1 w - - 0 1,R+2P vs k+p,2,1,6,1
Q7/8/4N3/7K/8/5P1k/8/8 w - - 0 1,Q+N+P vs k,2,1,5,1
8/8/8/8/2k5/8/8/7K b - - 0 1,K vs k,0,0,2,0
5B2/8/5K2/8/6k1/8/8/8 w - - 0 1,B vs k,0,0,3,1
8/8/8/8/7k/1K2n3/6p1/8 w - - 0 1,K vs k+n+p,-2,-2,4,1
8/8/1q6/8/2K5/8/8/1bk5 w - - 0 1,K vs k+q+b,-2,-8,4,1
8/8/2K5/8/6k1/8/R7/8 w - - 0 1,R vs k,2,23,3,1
8/8/1p6/7k/3R2N1/8/4nK2/8 w - - 0 1,R+N vs k+n+p,2,1,6,1
8/8/8/8/8/3k2n1/K7/8 b - - 0 1,K vs k+n,0,0,3,0
8/8/7K/8/8/1k6/8/8 b - - 0 1,K vs k,0,0,2,0
8/2k2R2/6R1/8/8/6K1/8/8 b - - 0 1,2R vs k,-2,-2,4,0
k7/8/8/8/8/8/8/4K3 b - - 0 1,K vs k,0,0,2,0
8/8/8/2B5/3K4/8/4k3/8 b - - 0 1,B vs k,0,0,3,0
5q2/8/8/7Q/8/8/3K2k1/8 w - - 0 1,Q vs k+q,0,0,4,1
8/8/8/2rK2k1/5N1n/8/3q4/8 b - - 0 1,N vs k+q+r+n,2,1,6,0
8/q7/2k3b1/8/8/8/6K1/8 w - - 0 1,K vs k+q+b,-2,-8,4,1
5k2/8/8/8/2b1K3/8/1p3p2/8 w - - 0 1,K vs k+b+2p,-2,-2,5,1
2K5/8/8/6p1/8/5k2/8/8 b - - 0 1,K vs k+p,2,1,3,0
8/8/5K2/8/3k4/8/8/8 w - - 0 1,K vs k,0,0,2,1
5k2/8/7K/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
r7/8/8/4b3/1K6/8/8/1k6 w - - 0 1,K vs k+r+b,-2,-16,4,1
8/8/3K4/3R4/8/1b6/q4k2/8 w - - 0 1,R vs k+q+b,-2,-16,5,1
8/8/8/8/8/4k3/8/1K6 w - - 0 1,K vs k,0,0,2,1
3k4/8/8/3K4/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/3K4/1R6/B7/3k4/6p1/8/8 w - - 0 1,R+B vs k+p,2,3,5,1
8/6K1/8/6R1/8/2k5/8/8 b - - 0 1,R vs k,-2,-28,3,0
8/8/8/8/1K6/q7/5pN1/5R1k b - - 0 1,R+N vs k+q+p,2,1,6,0
2K5/4r3/8/8/7k/7R/8/8 b - - 0 1,R vs k+r,2,1,4,0
3K3k/8/8/8/8/8/8/n7 w - - 0 1,K vs k+n,0,0,3,1
8/8/8/8/2K5/8/8/3k4 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/6BK/8/8/k7 b - - 0 1,B vs k,0,0,3,0
1K6/8/4R2k/8/8/8/Q7/8 b - - 0 1,Q+R vs k,-2,-4,4,0
8/3k3B/8/5Q2/nK6/8/8/8 b - - 0 1,Q+B vs k+n,-2,-2,5,0
8/6Q1/4r1k1/8/8/8/8/2p3K1 b - - 0 1,Q vs k+r+p,2,1,5,0
8/8/8/8/K7/k7/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/8/8/8/4K1k1/8 w - - 0 1,K vs k,0,0,2,1
7K/8/8/8/2Q5/6k1/8/8 w - - 0 1,Q vs k,2,13,3,1
6N1/8/8/q6k/8/8/5r2/6K1 w - - 0 1,N vs k+q+r,-2,-2,5,1
8/8/2Rq4/4K3/2B5/7N/8/k7 b - - 0 1,R+B+N vs k+q,2,1,6,0
q7/3K4/7k/1b6/8/8/5b2/8 w - - 0 1,K vs k+q+2b,-2,-6,5,1
8/8/8/7K/3b4/8/8/2b1k2r w - - 0 1,K vs k+r+2b,-2,-12,5,1
2K1n3/8/3k4/8/8/8/8/5B2 b - - 0 1,B vs k+n,0,0,4,0
8/8/8/8/7R/6k1/1Kb5/8 b - - 0 1,R vs k+b,0,0,4,0
p7/5k2/8/8/5K2/5b2/8/8 w - - 0 1,K vs k+b+p,0,0,4,1
5k2/8/5n2/8/8/8/8/K7 b - - 0 1,K vs k+n,0,0,3,0
8/1k6/2K5/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/2K5/7r/8/5k2/2b5 b - - 0 1,K vs k+r+b,2,17,4,0
5k2/7R/8/8/4r3/3r4/8/K7 w - - 0 1,R vs k+2r,-2,-18,5,1
8/1k6/8/8/2R5/8/8/4K3 b - - 0 1,R vs k,-2,-18,3,0
8/k1p5/2Q5/8/2K5/7p/8/8 w - - 0 1,Q vs k+2p,2,1,5,1
8/4R3/K7/8/8/1R6/8/k7 w - - 0 1,2R vs k,2,1,4,1
8/8/8/8/8/8/2k5/6K1 w - - 0 1,K vs k,0,0,2,1
7k/8/8/4K3/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/7K/1k6/8/6Q1/8/8/8 w - - 0 1,Q vs k,2,15,3,1
1k6/8/7p/8/8/5K2/8/8 w - - 0 1,K vs k+p,0,0,3,1
8/8/K7/8/5N2/8/8/5k2 b - - 0 1,N vs k,0,0,3,0
2N3p1/2r5/8/8/8/8/3K4/1k6 b - - 0 1,N vs k+r+p,2,1,5,0
8/k7/3P4/4R2K/8/8/8/2P5 w - - 0 1,R+2P vs k,2,1,5,1
8/8/8/8/8/1K1k4/8/8 b - - 0 1,K vs k,0,0,2,0
5r2/8/8/8/8/4k3/8/P4K2 w - - 0 1,P vs k+r,-2,-4,4,1
8/8/5k2/3R4/8/K1B5/8/8 b - - 0 1,R+B vs k,-2,-18,4,0
8/8/8/8/4q3/1K6/8/6k1 w - - 0 1,K vs k+q,-2,-12,3,1
8/8/8/1P5K/8/8/8/5k2 b - - 0 1,P vs k,-2,-2,3,0
1p6/7r/4k3/8/5K2/8/8/8 w - - 0 1,K vs k+r+p,-2,-2,4,1
8/6K1/8/8/5k2/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/7k/8/4K3/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
1qk5/2R5/8/8/8/8/8/3K4 b - - 0 1,R vs k+q,2,1,4,0
8/8/8/8/k7/8/8/2K5 w - - 0 1,K vs k,0,0,2,1
3K4/8/8/8/8/5k2/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/2q5/1p6/8/8/k7/5K2 w - - 0 1,K vs k+q+p,-2,-2,4,1
8/8/8/8/8/8/8/3kK3 w - - 0 1,K vs k,0,0,2,1
8/7k/8/8/1K6/8/8/8 w - - 0 1,K vs k,0,0,2,1
1b6/8/8/8/7k/8/8/2K5 b - - 0 1,K vs k+b,0,0,3,0
8/8/8/8/6K1/3k4/8/8 b - - 0 1,K vs k,0,0,2,0
2k5/8/8/5K2/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
3B4/8/1K6/6r1/8/8/8/2n1k3 b - - 0 1,B vs k+r+n,2,31,5,0
8/8/8/8/4K3/2k5/8/8 b - - 0 1,K vs k,0,0,2,0
6K1/8/8/8/8/2k5/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/K7/8/1k6/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/1B6/6K1/1k6/8/8/8 b - - 0 1,B vs k,0,0,3,0
8/8/K7/5k2/8/4n3/8/8 w - - 0 1,K vs k+n,0,0,3,1
8/6k1/4K3/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/8/1K6/k7/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/1k3K2/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/k7/7K/6R1/8/8/8 b - - 0 1,R vs k,-2,-26,3,0
8/2K5/8/8/8/8/7N/3k4 b - - 0 1,N vs k,0,0,3,0
6k1/8/4N3/8/8/2p5/6K1/8 w - - 0 1,N vs k+p,0,0,4,1
8/8/8/5kb1/4R1K1/8/8/8 b - - 0 1,R vs k+b,0,0,4,0
1k6/8/K7/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/R7/8/8/5R2/8/6k1/5K1n b - - 0 1,2R vs k+n,-2,-4,5,0
8/7k/8/8/3K4/P7/8/8 b - - 0 1,P vs k,-2,-2,3,0
7K/8/5k2/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
3R4/K7/8/6k1/8/8/8/8 b - - 0 1,R vs k,-2,-28,3,0
2k5/8/8/4K3/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/2P4K/b7/8/8/k7/8/8 w - - 0 1,P vs k+b,0,0,4,1
2b5/8/8/6K1/1r6/8/8/5k2 w - - 0 1,K vs k+r+b,-2,-18,4,1
6K1/8/1r6/8/8/8/k7/8 w - - 0 1,K vs k+r,-2,-24,3,1
5K2/8/4k3/r7/8/Q7/8/8 w - - 0 1,Q vs k+r,2,1,4,1
8/5K2/5n2/6p1/7k/8/8/8 w - - 0 1,K vs k+n+p,-2,-2,4,1
4K3/8/8/8/8/8/6k1/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/2K5/6k1/8/8/8 b - - 0 1,K vs k,0,0,2,0
7K/8/8/8/7k/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/8/1k6/5n2/4K3/8 w - - 0 1,K vs k+n,0,0,3,1
K1k5/8/8/8/2R5/8/8/8 b - - 0 1,R vs k,-2,-28,3,0
8/1R6/4K3/8/8/8/7R/k7 w - - 0 1,2R vs k,2,1,4,1
8/8/8/2B5/8/8/3N4/3k3K b - - 0 1,B+N vs k,0,0,4,0
8/8/7k/8/3K4/8/3n4/8 w - - 0 1,K vs k+n,0,0,3,1
2q4p/8/2R5/8/8/2K5/8/6k1 b - - 0 1,R vs k+q+p,2,1,5,0
8/8/3K4/8/8/8/6k1/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/5P2/8/3r3k/8/2K5 w - - 0 1,P vs k+r,-2,-4,4,1
8/5k2/5q2/8/3K4/8/8/8 w - - 0 1,K vs k+q,-2,-16,3,1
8/8/7K/3k4/8/8/8/4b3 w - - 0 1,K vs k+b,0,0,3,1
8/5KP1/8/1k6/8/2b5/2n5/8 b - - 0 1,P vs k+b+n,0,0,5,0
8/8/8/8/3p3K/b7/k7/8 w - - 0 1,K vs k+b+p,-2,-2,4,1
8/8/8/N6K/8/8/8/2k5 w - - 0 1,N vs k,0,0,3,1
8/8/8/8/4K3/7B/7k/8 b - - 0 1,B vs k,0,0,3,0
6k1/8/K7/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/5K2/8/8/8/k7 w - - 0 1,K vs k,0,0,2,1
3q4/8/8/7N/2K3k1/p7/8/8 b - - 0 1,N vs k+q+p,2,1,5,0
8/2K5/8/8/q7/8/8/k4n2 b - - 0 1,K vs k+q+n,2,13,4,0
1q1b4/1R6/8/8/k7/8/3P4/K7 b - - 0 1,R+P vs k+q+b,2,1,6,0
4Q3/3p4/4q2k/8/8/8/8/7K w - - 0 1,Q vs k+q+p,0,0,5,1
2k5/8/8/8/8/8/6K1/8 b - - 0 1,K vs k,0,0,2,0
K7/8/8/8/8/8/8/1k6 w - - 0 1,K vs k,0,0,2,1
8/7k/8/8/8/5K2/8/8 w - - 0 1,K vs k,0,0,2,1
8/1K6/8/3P4/8/4B3/2k5/8 b - - 0 1,B+P vs k,-2,-2,4,0
5k2/8/8/3B4/7K/1Q6/B7/3r4 w - - 0 1,Q+2B vs k+r,2,1,6,1
6K1/8/8/8/8/8/8/k7 b - - 0 1,K vs k,0,0,2,0
2K3k1/8/8/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/2K5/4k3/8/8/8/7b w - - 0 1,K vs k+b,0,0,3,1
8/8/8/8/8/4k3/R6K/8 b - - 0 1,R vs k,-2,-30,3,0
1k6/8/8/8/8/6K1/8/8 b - - 0 1,K vs k,0,0,2,0
1K6/8/8/8/8/8/7k/8 b - - 0 1,K vs k,0,0,2,0
2k5/8/4K3/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/5k2/8/8/8/8/8/4K3 b - - 0 1,K vs k,0,0,2,0
8/3qk3/8/8/Q7/4K3/7p/7N b - - 0 1,Q+N vs k+q+p,2,1,6,0
2b5/4B3/8/8/8/8/8/1K5k b - - 0 1,B vs k+b,0,0,4,0
8/3r1k2/8/8/8/3N4/8/2Q3K1 b - - 0 1,Q+N vs k+r,-2,-14,5,0
8/8/8/1K6/8/8/5k2/8 b - - 0 1,K vs k,0,0,2,0
8/8/6R1/3r1R2/8/2k5/8/7K w - - 0 1,2R vs k+r,2,1,5,1
8/8/4k3/8/8/5K2/8/8 b - - 0 1,K vs k,0,0,2,0
8/5K2/8/8/8/8/2k5/8 b - - 0 1,K vs k,0,0,2,0
2K5/8/1k6/8/6P1/2p5/1R6/8 b - - 0 1,R+P vs k+p,2,1,5,0
2R5/7k/4K3/8/8/8/8/3Q4 w - - 0 1,Q+R vs k,2,3,4,1
1q6/8/8/K7/8/8/8/5k2 w - - 0 1,K vs k+q,-2,-8,3,1
8/8/8/8/8/3K4/8/7k w - - 0 1,K vs k,0,0,2,1
8/8/8/8/8/8/1K6/1k6 b - - 0 1,K vs k,0,0,2,0
K2k4/8/8/2P1p3/8/8/8/2B5 b - - 0 1,B+P vs k+p,-2,-12,5,0
5KQk/8/2q5/8/1Q4r1/8/8/8 b - - 0 1,2Q vs k+q+r,2,1,6,0
1n6/8/8/6r1/8/K7/5k2/1n6 w - - 0 1,K vs k+r+2n,-2,-10,5,1
7K/8/8/R7/k1q5/8/2n5/8 b - - 0 1,R vs k+q+n,2,1,5,0
8/8/8/8/4K3/6k1/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/1K2n3/8/5k2/8/8/8 w - - 0 1,K vs k+n,0,0,3,1
K7/8/8/1p6/2k5/8/8/8 w - - 0 1,K vs k+p,-2,-2,3,1
K7/8/8/8/8/R7/8/3k4 w - - 0 1,R vs k,2,21,3,1
2K5/8/8/8/8/8/k7/8 b - - 0 1,K vs k,0,0,2,0
2r5/8/6k1/8/3K4/8/8/8 b - - 0 1,K vs k+r,2,25,3,0
8/Kn6/8/8/8/k7/8/8 b - - 0 1,K vs k+n,0,0,3,0
6K1/8/3r4/8/3r4/8/7k/7B b - - 0 1,B vs k+2r,2,1,5,0
8/1n6/K7/8/8/2B5/8/4n1k1 w - - 0 1,B vs k+2n,0,0,5,1
8/8/8/8/1K5k/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/8/8/8/k1K5/8 b - - 0 1,K vs k,0,0,2,0
8/7K/8/8/2k1R3/8/8/8 b - - 0 1,R vs k,-2,-28,3,0
8/5k2/8/8/8/8/6K1/8 w - - 0 1,K vs k,0,0,2,1
5K2/8/4n3/8/8/8/4R1k1/3P4 b - - 0 1,R+P vs k+n,-2,-2,5,0
PK6/8/2q5/1k6/8/8/2B5/8 b - - 0 1,B+P vs k+q,2,1,5,0
8/2K5/8/8/8/8/8/5k2 b - - 0 1,K vs k,0,0,2,0
1K6/8/8/1k6/8/8/8/1r6 b - - 0 1,K vs k+r,2,5,3,0
8/8/5K2/8/1k6/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/1K6/8/6k1/8/8 b - - 0 1,K vs k,0,0,2,0
7K/3b4/8/8/5Qk1/8/8/7N b - - 0 1,Q+N vs k+b,0,0,5,0
8/8/7k/3p4/8/4K3/8/8 w - - 0 1,K vs k+p,0,0,3,1
8/5Q2/4B3/5k2/8/3P4/8/1K6 b - - 0 1,Q+B+P vs k,-2,-2,5,0
8/8/8/3R4/5n2/6k1/2K5/R7 b - - 0 1,2R vs k+n,0,0,5,0
7k/2N5/8/3B4/8/8/5R2/K7 w - - 0 1,R+B+N vs k,2,5,5,1
8/8/7k/4B3/8/p5K1/6n1/8 w - - 0 1,B vs k+n+p,0,0,5,1
8/8/8/4K3/N5k1/8/3q4/8 b - - 0 1,N vs k+q,2,3,4,0
8/8/1N6/3P4/8/7R/1k6/4K3 b - - 0 1,R+N+P vs k,-2,-2,5,0
K6p/8/8/4q3/8/8/8/kb6 w - - 0 1,K vs k+q+b+p,-2,-2,5,1
8/8/8/6p1/4K3/8/6Q1/2k5 w - - 0 1,Q vs k+p,2,1,4,1
3K4/8/8/5k2/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
4k1p1/N6n/8/8/5K2/8/8/8 w - - 0 1,N vs k+n+p,0,0,5,1
8/8/8/8/8/8/kK6/8 w - - 0 1,K vs k,0,0,2,1
8/8/k7/8/1K6/8/7r/8 b - - 0 1,K vs k+r,2,17,3,0
8/8/8/8/8/8/3p4/3k1KB1 w - - 0 1,B vs k+p,0,0,4,1
8/8/8/8/1k4r1/8/8/b3K3 w - - 0 1,K vs k+r+b,-2,-16,4,1
8/8/8/8/8/7k/8/2K5 w - - 0 1,K vs k,0,0,2,1
7K/8/8/6Q1/6r1/5N2/8/2b3k1 w - - 0 1,Q+N vs k+r+b,2,1,6,1
8/8/8/6Q1/8/2K5/2q5/7k w - - 0 1,Q vs k+q,2,1,4,1
8/1p2r3/7K/8/2N5/8/1k6/1P6 b - - 0 1,N+P vs k+r+p,2,1,6,0
8/8/8/8/8/3K3R/5k2/8 b - - 0 1,R vs k,-2,-14,3,0
8/8/8/6q1/8/6K1/3k4/8 w - - 0 1,K vs k+q,-2,-8,3,1
8/2b5/8/7Q/8/8/4b3/1K1k4 b - - 0 1,Q vs k+2b,2,1,5,0
8/8/8/8/3b4/1K6/8/2k5 w - - 0 1,K vs k+b,0,0,3,1
8/8/8/3K1k2/8/4n3/5R2/8 w - - 0 1,R vs k+n,0,0,4,1
5K2/k7/8/p7/8/8/8/8 b - - 0 1,K vs k+p,2,1,3,0
8/8/8/5k2/8/8/8/3K4 w - - 0 1,K vs k,0,0,2,1
2K5/8/8/3n4/2k5/n7/8/8 w - - 0 1,K vs k+2n,0,0,4,1
8/6k1/8/8/b7/8/8/4K3 w - - 0 1,K vs k+b,0,0,3,1
8/8/K7/8/1k6/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/8/8/3K3k/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/8/7R/b4Kk1/7B/7q b - - 0 1,R+B vs k+q+b,2,1,6,0
8/8/8/8/8/6N1/2K2k2/8 b - - 0 1,N vs k,0,0,3,0
8/R7/5k2/8/4q3/1K6/8/8 w - - 0 1,R vs k+q,-2,-40,4,1
4k3/8/8/8/8/8/8/6K1 b - - 0 1,K vs k,0,0,2,0
6Q1/1q6/2k5/8/8/8/3K4/8 b - - 0 1,Q vs k+q,0,0,4,0
5k2/2b5/4K3/8/8/5n2/8/4n3 w - - 0 1,K vs k+b+2n,-2,-18,5,1
8/k7/3K4/8/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/3R3k/8/8/3K4/8/8 b - - 0 1,R vs k,-2,-18,3,0
8/8/7B/8/4k3/8/8/K7 b - - 0 1,B vs k,0,0,3,0
8/8/8/7K/8/6k1/8/4R3 b - - 0 1,R vs k,-2,-20,3,0
8/8/8/k7/8/8/6K1/8 b - - 0 1,K vs k,0,0,2,0
3K4/8/8/8/7k/8/8/8 w - - 0 1,K vs k,0,0,2,1
3K4/8/8/8/8/8/7k/8 b - - 0 1,K vs k,0,0,2,0
8/8/2kq4/8/4K3/8/8/8 w - - 0 1,K vs k+q,-2,-14,3,1
8/8/3qk3/8/8/8/4K3/8 b - - 0 1,K vs k+q,2,11,3,0
7k/R7/2K5/8/2R5/8/8/8 w - - 0 1,2R vs k,2,1,4,1
1B6/8/2K5/8/8/8/1k6/8 w - - 0 1,B vs k,0,0,3,1
2k5/6Q1/8/8/8/4B3/1K6/Q7 b - - 0 1,2Q+B vs k,-2,-2,5,0
8/8/p4N2/8/8/6Kp/8/6k1 w - - 0 1,N vs k+2p,0,0,5,1
8/8/8/6kK/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
8/7K/8/8/8/1k6/8/8 b - - 0 1,K vs k,0,0,2,0
7k/7n/8/6K1/8/3P4/8/8 w - - 0 1,P vs k+n,0,0,4,1
Q7/8/8/1k6/5K2/q1q5/8/8 b - - 0 1,Q vs k+2q,2,1,5,0
8/8/8/3K4/7k/8/4P3/8 b - - 0 1,P vs k,-2,-2,3,0
8/8/8/1Q2N2k/8/8/8/5K2 w - - 0 1,Q+N vs k,2,5,4,1
2k5/8/8/4n3/3K4/8/8/1P3P2 w - - 0 1,2P vs k+n,2,1,5,1
